feature,nan_pct_before_drop
downside_beta_63d,0.03663722603859994
price_sma200,0.0323846908734053
rel_strength_63d,0.020608439646712464
mom_63d,0.020608439646712464
vxn_zscore,0.019299967288191038
idio_vol_21d,0.013411841674844618
price_sma50,0.012757605495583905
sma_cross_20_50,0.012757605495583905
macd_hist,0.010794896957801767
macd_signal,0.010794896957801767
resid_ret_21d,0.01046777886817141
rolling_beta_63d,0.01046777886817141
vol_63d,0.010140660778541054
vol_change_21d,0.010140660778541054
downside_vol_21d,0.009346231132295902
adx_14d,0.00850507033038927
trend_strength_21d,0.0068694798822374874
rel_strength_21d,0.0068694798822374874
ret_21d,0.0068694798822374874
abnormal_volume,0.0062152437029767745
bb_pctb_20d,0.0062152437029767745
turnover_21d,0.0062152437029767745
skew_21d,0.004906771344455349
zspread_change_5d,0.004906771344455349
position_in_range_20d,0.004579653254824992
rsi_14d,0.004579653254824992
price_sma20,0.004579653254824992
sma_cross_5_20,0.004579653254824992
atr_norm_14d,0.004252535165194635
stoch_k_14d,0.004252535165194635
atr_14d,0.004252535165194635
zspread_ma5,0.003925417075564278
vxn_accel,0.0032711808963035655
mom_accel_5d,0.0032711808963035655
amihud_illiq_21d,0.0032711808963035655
market_dispersion_21d,0.0032711808963035655
zspread,0.0032711808963035655
vol_21d,0.0032711808963035655
ret_10d,0.0032711808963035655
dollar_volume_21d,0.002944062806673209
vxn_ma5_ma21,0.002944062806673209
max_dd_21d,0.002944062806673209
gk_vol_20d,0.002944062806673209
vol_ma_ratio_20d,0.002944062806673209
vol_skew_21d,0.002673022103836628
ret_1d_lag5,0.001962708537782139
vxn_ret_5d,0.0016355904481517827
ret_1d_lag4,0.0016355904481517827
ret_5d,0.0016355904481517827
vol_10d,0.0016355904481517827
vol_change_5d,0.0016355904481517827
ret_1d_lag3,0.0013084723585214263
ret_1d_lag2,0.0009813542688910696
vol_5d,0.0009813542688910696
ret_1d_lag1,0.0006542361792607131
mean_rev_5d,0.0006542361792607131
ret_1d,0.00032711808963035657
vol_change_1d,0.00032711808963035657
vix_ret_1d,0.00032711808963035657
vxn_ret_1d,0.00032711808963035657
vix_vxn_spread,0.0
p_high_vol,0.0
p_high_x_mom_63d,0.0
p_high_x_vol_21d,0.0
p_high_x_resid_ret,0.0
